scrambled_letters,answer,frequency
orht,thor,1240
hpp,php,1240
ikttko,tiktok,1240
kloi,kilo,1240
ikns,skin,1240
inulx,linux,1240
olso,oslo,1240
tuplo,pluto,1240
mnoo,moon,1240
mzoo,zoom,1240
onrotot,toronto,1240
yson,sony,1240
uruhgbb,grubhub,5
cessh,chess,1
